route_process_id	route_code	process_id	process_code	process_name	sort	deleted
922338	ROUTE-XLSX-00002	922744	B010	吹球囊成型	1	1
922339	ROUTE-XLSX-00001	922789	Z2630	吹球囊成型	1	0
922342	ROUTE-XLSX-00002	922746	B030	球囊裁剪	2	1
922343	ROUTE-XLSX-00001	922795	Z3710	球囊裁剪	2	0
922348	ROUTE-XLSX-00002	922750	B060	外管与球囊焊接	5	1
922349	ROUTE-XLSX-00001	922796	Z2510	外管与球囊焊接	5	0
922352	ROUTE-XLSX-00002	922752	B290	焊接圆角	23	1
922353	ROUTE-XLSX-00001	922794	Z2560	焊接圆角	13	0
922355	ROUTE-XLSX-00002	922753	B210	焊接远端锥度	15	1
922356	ROUTE-XLSX-00001	922798	Z2550	焊接远端锥度	11	0
922358	ROUTE-XLSX-00002	922754	B070	外管切缝	6	1
922359	ROUTE-XLSX-00001	922797	Z3810	外管切缝	6	0
922361	ROUTE-XLSX-00002	922755	B080	穿显影环	7	1
922362	ROUTE-XLSX-00001	922841	Z5200	穿显影环	8	0
922364	ROUTE-XLSX-00002	922756	B090	压显影环	8	1
922365	ROUTE-XLSX-00001	922843	Z2530	压显影环	10	0
922368	ROUTE-XLSX-00002	922758	B220	快速交换口焊接	16	1
922369	ROUTE-XLSX-00001	922793	Z2570	快速交换口焊接	14	0
922371	ROUTE-XLSX-00002	922759	B230	RX口检测	17	1
922372	ROUTE-XLSX-00001	922788	Z2600	RX口检测	15	0
922374	ROUTE-XLSX-00002	922760	B240	点胶海波管	18	1
922375	ROUTE-XLSX-00001	922845	Z2580	点胶海波管	16	0
922377	ROUTE-XLSX-00002	922761	B250	球囊压握	19	1
922378	ROUTE-XLSX-00001	922848	Z2490	球囊压握	19	0
922380	ROUTE-XLSX-00002	922762	B280	裁剪圆角	22	1
922381	ROUTE-XLSX-00001	922844	Z3850	裁剪圆角	12	0
922383	ROUTE-XLSX-00002	922763	B310	球囊盘管（机器）	25	1
922384	ROUTE-XLSX-00001	922787	Z5600	球囊盘管（机器）	20	0
922386	ROUTE-XLSX-00002	922764	B320	球囊测漏及全检	26	1
922387	ROUTE-XLSX-00001	922849	Z2620	球囊测漏及全检	21	0
922389	ROUTE-XLSX-00002	922765	PROC-XLSX-00001	外管拉伸2	3	1
922390	ROUTE-XLSX-00001	922838	Z2775	外管拉伸2	3	0
922391	ROUTE-XLSX-00002	922766	PROC-XLSX-00002	内管拉伸2	4	1
922392	ROUTE-XLSX-00001	922839	Z2772	内管拉伸2	4	0
922393	ROUTE-XLSX-00001	922840	Z3720	裁剪管材	7	0
922394	ROUTE-XLSX-00001	922842	Z2520	尖端管与内管焊接	9	0
922395	ROUTE-XLSX-00001	922846	Z2480	球囊涂层	17	0
922396	ROUTE-XLSX-00001	922847	Z2590	球囊组件与海波管焊接	18	0
922397	ROUTE-XLSX-00001	922786	Z760	包套装管	22	0
922398	ROUTE-XLSX-00001	922850	Z830	纸塑袋封口（包装）	23	0
922399	ROUTE-XLSX-00001	922773	PROC-XLSX-00009	全检导丝	24	1
922400	ROUTE-XLSX-00002	922774	PROC-XLSX-00010	棘突丝拉伸2	9	1
922401	ROUTE-XLSX-00002	922775	PROC-XLSX-00011	棘突丝切割	10	1
