table_name	tenant_id	active_count
mes_pro_route	1	3
mes_pro_route	122	0
mes_pro_route_version	1	154
mes_pro_route_version	122	0
mes_pro_route_process	1	77
mes_pro_route_process	122	0
mes_pro_route_process_flow_edge	1	73
mes_pro_route_process_flow_edge	122	0
mes_pro_route_process_flow_boundary_edge	1	12
mes_pro_route_process_flow_boundary_edge	122	0
mes_pro_route_process_flow_layout	1	63
mes_pro_route_process_flow_layout	122	0
mes_pro_route_product	1	20
mes_pro_route_product	122	0
mes_pro_route_product_bom	1	50
mes_pro_route_product_bom	122	0
mes_pro_route_schedule_config	1	1550
mes_pro_route_schedule_config	122	0
mes_pro_route_flow_config	1	111
mes_pro_route_flow_config	122	0
mes_pro_route_flow_process_config	1	1563
mes_pro_route_flow_process_config	122	0
mes_pro_route_flow_process_batch_record	1	692
mes_pro_route_flow_process_batch_record	122	0
mes_pro_schedule_resource_adjustment	1	0
mes_pro_schedule_resource_adjustment	122	0
