version_id	route_code	version_no	active	status	nodes	product_boms	zero_process_boms	nonzero_process_boms	process_ids
3	ROUTE-XLSX-00001	V1	0	SUPERSEDED	0	0	0	0	
116	ROUTE-XLSX-00001	V2	0	CANCELLED	23	24	24	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123	ROUTE-XLSX-00001	V3	0	CANCELLED	23	24	24	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124	ROUTE-XLSX-00001	V4	0	CANCELLED	23	24	24	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125	ROUTE-XLSX-00001	V5	0	CANCELLED	23	24	24	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264	ROUTE-XLSX-00001	V6	0	CANCELLED	23	24	24	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265	ROUTE-XLSX-00001	V7	0	CANCELLED	23	24	24	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270	ROUTE-XLSX-00001	V8	0	SUPERSEDED	23	24	24	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271	ROUTE-XLSX-00001	V9	1	ACTIVE	23	24	24	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272	ROUTE-XLSX-00001	V10	0	DRAFT	23	24	24	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4	ROUTE-XLSX-00002	V1	0	SUPERSEDED	0	0	0	0	
110	ROUTE-XLSX-00002	V2	0	CANCELLED	26	26	22	4	0,0,0,0,0,0,0,0,0,0,0,0,0,922930,0,0,0,0,0,922936,922937,0,0,922940,0,0
113	ROUTE-XLSX-00002	V3	0	CANCELLED	0	0	0	0	
117	ROUTE-XLSX-00002	V4	0	CANCELLED	26	26	22	4	0,0,0,0,0,0,0,0,0,0,0,0,0,922930,0,0,0,0,0,922936,922937,0,0,922940,0,0
122	ROUTE-XLSX-00002	V5	0	SUPERSEDED	26	26	22	4	0,0,0,0,0,0,0,0,0,0,0,0,0,922930,0,0,0,0,0,922936,922937,0,0,922940,0,0
146	ROUTE-XLSX-00002	V6	0	CANCELLED	26	26	22	4	0,0,0,0,0,0,0,0,0,0,0,0,0,922930,0,0,0,0,0,922936,922937,0,0,922940,0,0
147	ROUTE-XLSX-00002	V7	0	CANCELLED	26	26	22	4	0,0,0,0,0,0,0,0,0,0,0,0,0,922930,0,0,0,0,0,922936,922937,0,0,922940,0,0
148	ROUTE-XLSX-00002	V8	0	CANCELLED	26	26	22	4	0,0,0,0,0,0,0,0,0,0,0,0,0,922930,0,0,0,0,0,922936,922937,0,0,922940,0,0
160	ROUTE-XLSX-00002	V9	1	ACTIVE	26	26	22	4	0,0,0,0,0,0,0,0,0,0,0,0,0,922930,0,0,0,0,0,922936,922937,0,0,922940,0,0
262	ROUTE-XLSX-00002	V10	0	CANCELLED	26	26	22	4	0,0,0,0,0,0,0,0,0,0,0,0,0,922930,0,0,0,0,0,922936,922937,0,0,922940,0,0
263	ROUTE-XLSX-00002	V11	0	CANCELLED	26	26	22	4	0,0,0,0,0,0,0,0,0,0,0,0,0,922930,0,0,0,0,0,922936,922937,0,0,922940,0,0
372	ROUTE-XLSX-00002	V12	0	DRAFT	26	26	22	4	0,0,0,0,0,0,0,0,0,0,0,0,0,922930,0,0,0,0,0,922936,922937,0,0,922940,0,0
